message,author,date,url
Ask chatgpt to generate data,Bruno,2025-05-07T21:53:29.000-03:00,https://github.com/openmultiagentsystems/framework/commit/52d73c3662f2d0ba9d1f18938d66baa4aeda69df
Using ChatGPT to generate README.md,Takane42,2025-05-10T10:34:23.000+07:00,https://github.com/krisna-yudha/NoteAppsLaravel/commit/85deea91adeed05011e1ab006f3941a6ab9593af
"Update index.html

Used CHATGPT to generate",cMcVay,2025-05-10T09:12:55.000-04:00,https://github.com/cMcVay/Connoroo/commit/5b55e21066753e706b27ac97ecbc356ce8dc14fa
"Refactor: Integrate ChatGPT for flashcard generation

Integrate ChatGPT to generate flashcard questions based on the notepad text.",gpt-engineer-app[bot],2025-03-26T02:28:41.000Z,https://github.com/Hhbreeze/iconic-url-buttons/commit/31615b64a3e02f4b344e4da15627a013439b82dc
"Feat: Generate food description with nutrition

Integrate ChatGPT to generate food descriptions and nutritional information in a specified format.",gpt-engineer-app[bot],2025-05-12T10:28:13.000Z,https://github.com/A-mins/food-image-calcount/commit/ceb720c774d1369ead12926e3cf9fac723571e8a
"Create README.md

Used ChatGPT to generate a basic README",Henry Wagner,2025-04-07T16:08:31.000+02:00,https://github.com/henrytwagner/census/commit/47c6a1f765309d35ec20787726e0b0249c742a7d
"Refactor: Integrate ChatGPT for menu suggestions

Integrate ChatGPT to generate menu suggestions based on product names.",gpt-engineer-app[bot],2025-04-04T18:20:25.000Z,https://github.com/matmenzl/fridge-os/commit/188321f968700f1de9ffa9173d7e6b9c2c6646f3
Added query to ChatGPT to generate prompt images.,Kareem Shehata,2025-03-09T14:30:55.000+08:00,https://github.com/kshehata/Kaito-Anki-JP-Addon/commit/1c59e5845e6852ad995ada66eb96a3d900210122
"Added solver.py with OpenAI logic.

Uses ChatGPT to generate step-by-step answers.",Silvia Catherine,2025-04-19T00:42:09.000+05:30,https://github.com/silviaacatherine/silvia_roboverse/commit/49f76b3e16493b432ce8250936d0567eff61c0c7
use chatgpt to generate sample user prompts,Gibson Smith,2025-02-20T18:47:21.000-08:00,https://github.com/gdsmith1/Replicant/commit/3221d993922e427660d2fcb51d9c1c59f8ad7f72
"Updating the purpose of Antska

Used chatgpt to generate un unvalided (possibly garbage) plan.",Royce Leon DSouza,2025-04-12T20:35:16.000-05:00,https://github.com/RoyceLeonD/scansca/commit/646ad8f0882e9c8c671f52341d757b9f2ca0d931
started lawnmower driver. used chatgpt to generate code to parse command line arguments.,dkfukunaga,2025-03-28T23:32:53.000-07:00,https://github.com/dkfukunaga/lawn-mower/commit/69aecb3cdef9fd1acef8a4acc4213203fa79538a
Adding AI chatGPT to generate the summary.,Sérgio Correia,2025-02-05T23:52:04.000Z,https://github.com/sergiosdcorreia/nextjs-ai-resume-builder-sc/commit/cc0717264b32e7733963804728c5e9e008beddf6
used chatgpt to generate some code,MChouHome,2025-01-10T20:59:18.000-05:00,https://github.com/mathchou/mathchou.github.io/commit/527ee82b7d93657ebe61509fe31a448f539d3b7c
"Added Sample data, used ChatGPT to generate translation",anonUnderground,2025-02-03T21:31:22.000-06:00,https://github.com/alkarboly/NativeEcho/commit/0a9c00eb0c93e53267cd2d66484541d98649c0fb
asked chatgpt to generate simulated list of people.csv,Kyle,2025-02-11T05:49:42.000Z,https://github.com/kyleyhw/driver_assignment/commit/3849df8705efbbd681c80e32261476d1db659c7f
use chatgpt to generate docs from schema and old docs (#53888),Charles,2025-02-21T10:46:54.000-08:00,https://github.com/romario-syniti/my-airbyte-fork/commit/f1d574afd27152cd426b3e7d5ee4ce8fa659463c
use chatgpt to generate docs from schema and old docs (#53888),Charles,2025-02-21T10:46:54.000-08:00,https://github.com/airbytehq/airbyte/commit/f1d574afd27152cd426b3e7d5ee4ce8fa659463c
Grok also generated garbage. Third time lucky: got ChatGPT to generate some throwaway C++ code to parse opcode data derived from Chromium V8 WASM opcode header.,Leigh Johnston,2025-04-06T07:38:30.000+01:00,https://github.com/i42output/neos/commit/5d45f4b6d83d1e58e5cff08b24ef491a69fca04c
Grok also generated garbage. Third time lucky: got ChatGPT to generate some throwaway C++ code to parse opcode data derived from Chromium V8 WASM opcode header.,Leigh Johnston,2025-04-06T07:18:27.000+01:00,https://github.com/i42output/neos/commit/70ae174ec9e7a9270c1884ed9b8151121067e320
"Made the comments voltaged (chatgpt) made

Still upset that voltaged used chatgpt to generate code and didnt tell me",Thepuppetqueen57,2025-01-04T23:28:45.000-08:00,https://github.com/Geometry-Rays/geometry-rays/commit/ddd09612443e345898067a4806ae3f669234572b
Created script for batch API requests to ChatGPT to generate dataset with prompt reponses,HDMax93,2025-03-04T16:26:37.000+01:00,https://github.com/HDMax93/LLM-as-a-judge/commit/0aa81fb45e9da7225adc0584d906e939c9896ee7
Task 2.2: Added code snippet and asked ChatGPT to generate documentation,FrankFurter123,2025-02-22T00:32:15.000-08:00,https://github.com/ChrisCRL/Group-2/commit/bbea98702c9acc00d801738344ca5054e1d50c1f
Task 2.1: Added code snippet and asked ChatGPT to generate documentation,FrankFurter123,2025-02-22T00:30:37.000-08:00,https://github.com/ChrisCRL/Group-2/commit/2d81549d3d52638f8bda10ce20c6250733757fe6
