message,author,date,url
got chatgpt to write a good looking readme,Jordi,2025-05-12T22:00:26.000-03:00,https://github.com/Santosjordi/fc_challenge_clean_arch/commit/97201357ea5b673014400c4e3b5ef6ccfb5168a2
used chatgpt to write a Go bot restarter,CreateSource,2025-04-27T13:06:02.000-04:00,https://github.com/abnormalhare/Elemental-On-Cards/commit/69cd694d7ba6fd73c40e7af52a1fce0695363d7a
Add users and enable chatgpt to write a minute,Juan Bustamante,2025-04-10T22:31:09.000-05:00,https://github.com/jfbm74/transcrypto/commit/e2ea034659699be9ea4393e390a6c29063fe9ba4
Fixed Data Creation Bugs (SUJAN DO NOT USE CHATGPT TO WRITE CODE!!!!),das5pzq,2025-04-09T10:26:10.000-04:00,https://github.com/uva-spin/ANN-NMR/commit/635d9fde6d2ecf9a93c430848e11076dfb2e22ac
feat: migrate 'I asked ChatGPT to write a blog post about...' post from dev.to,wpieters,2025-03-24T10:11:44.000+02:00,https://github.com/wpieters/wpieters.github.io/commit/37847b66adf63c3203efd60f88714f815825174d
"Fixing tidyverse install issue

Used ChatGPT to write this new workflow file. May need to revert.",Stephan Teodosescu,2025-02-23T07:42:19.000+01:00,https://github.com/steodose/club-elo/commit/215ae1b844dc9a318f073198eddf4c023e3bda6d
Ask chatgpt to write setup,Michelle-Watson,2025-03-13T20:43:27.000-04:00,https://github.com/Michelle-Watson/LC/commit/c158904b2bded1159696049147b6034504cc29a3
story on using chatgpt to write frontmatter,hallm74,2024-12-09T19:29:55.000-06:00,https://github.com/hallm74/hallm.blog/commit/d7acf59a4dc1caa38887cbb6528e7e0d1972356a
"Added callEnded function, promps ChatGPT to write summary of call after it ends",NoahCagle,2025-02-01T07:53:17.000-06:00,https://github.com/Felopater-Melika/HackMT25/commit/b7ca0ccb2122eb72dc1f2ab301e287f2d81daaf4
Shared an example conversation I had with ChatGPT to write the code,Joel Kozikowski,2025-01-02T13:59:07.000-05:00,https://github.com/joelkoz/NodeUML/commit/be978607d7ac2bcb12f573f8cd0411189316055d
"template for node fetching, use chatgpt to write these bc some urls can be weird",gramms,2025-01-30T11:06:46.000-05:00,https://github.com/sgrammas10/CareerMatch-AI/commit/ddb90db63e38a80404d6303d750b8a1c8e208fe5
"remove username and mentionings, which will cause chatgpt to write a letter beginning with Hi ... and ending with Kind Regards",Uwe Winter,2025-02-14T14:39:41.000+11:00,https://github.com/galaxyproject/galaxy/commit/affb3b246a3977091f4765ae8603911b070738a3
pushing before using chatgpt to write benchmark code,ModeEric,2024-11-03T19:53:29.000-06:00,https://github.com/ModeEric/rustlearn/commit/cae398a324ce9e83dc8685e306868131848747d4
"remove pointless JSON decode

...the perils of using ChatGPT to write things.",Colin Dellow,2024-11-17T21:39:14.000-05:00,https://github.com/cldellow/bayesky/commit/574a04757cccb4145d98ecc5da9fa6f2299d32bd
Getting ChatGPT to write code for me,jrings,2024-10-05T17:16:02.000-07:00,https://github.com/jrisi256/secret_lives_pa/commit/7f76a7b602a8328df7ff680a607721bf83f63e12
"starting items

chat gpt wrote import items

asset load doc

clean up

example standard items by chatgpt

import items

item menu but javascript is bad

fixing inventory menu

item use in combat

started item cards

card clean up

polishing

some intro improvements

started get random item

chat gpt help

get random item

basic encounter completed

working on shop

swapping out evaluate variable with regex.
I asked chatgpt to write the regex string I wanted but everything else is mine.

NPC encounter buy

selling menu may need to revisit",Aiden Bradley,2025-04-02T15:48:00.000-04:00,https://github.com/AidenBradley24/Echo-Island/commit/4b962638635d9419a686f8c9404d659137245e53
Made ChatGPT to write main.py,KentarouGotou,2024-07-24T23:05:56.000+09:00,https://github.com/Davis9120/acm/commit/0a332091938558e0dea6637c6e66af5728521b26
"HW1 for Tech16 

In the notebook
1) **We call OpenAI API** using an API key. We default to the GPT 3.5 model to keep costs down.
2) **We query ChatGPT** with a user specified message
3) **We ask ChatGPT to write a 500 word essay** on a user specified topic. Since the criteria for the essay might be arbitrary also, we ask ChatGPT to first identify helpful criteria when writing such an essay.
4) **We ask ChatGPT to summarize a document** and use a sample 500 word essay as input text
5) **We ask ChatGPT to compare two documents** and use two 500 word essays from related topics as input and their original essay-writing criteria as context to compare and contrast both documents.

Example topics used
a) US vs Indian government
b) US vs Indian financial systems
c) Meta vs Google companies",thisisRMak,2025-02-12T03:43:32.000-08:00,https://github.com/thisisRMak/2025-tech16-LLM/commit/8df5a7a8da2b620958f8eb195f75437738ab2c60
updated README.md and index.html with help from chatGPT to write better.,Andrew Elwood,2024-10-09T21:24:32.000+01:00,https://github.com/AElwood119/PyOptics/commit/cf2d03fe4a39bcf9fc08d38f835a087a9e4096e4
Use chatgpt to write nice readme,rglonek,2024-07-12T17:02:25.000-07:00,https://github.com/rglonek/aeroage/commit/eb4d1e0a7b91b4b698635ff435814e096145209d
Typo: I should use ChatGPT to write English,Marven11,2024-07-29T12:42:36.000+08:00,https://github.com/Marven11/CVE-2024-28397-js2py-Sandbox-Escape/commit/6fd6c83d2c68e281598c94a096127a6054b64137
"added code for basic calendar

used chatgpt to write basic code for later editing to see its affect on swiftportal.com and if branches can be used for preview of static website",Rudraksh-Tripathi-47647574,2025-02-09T02:50:29.000+11:00,https://github.com/rudyt123/SwiftPortal.com/commit/0a9d28a5502cd2c0aa6808d54547c92fc94acc06
I lack humour so I ask ChatGPT to write me some jokes.,Clare So,2024-09-05T15:05:21.000-04:00,https://github.com/mozreorg/arewereorganizedyet.com/commit/8a5917a35b2491dd7be6c2987a75f65844ffd381
"LLM interactions Oct 30

Interaction with ChatGPT to write and debug the code for the results section",talia fabregas,2024-10-30T22:16:35.000-04:00,https://github.com/taliafabs/USPresidentialPollingForecast2024/commit/c6bdafbdd6a4269e8f1dff961eba3e049eb99a70
use ChatGPT to write an initial first pass at the article,Adrian Edwards,2024-08-23T09:47:38.000-04:00,https://github.com/RITlug/wiki/commit/e71dfc220c3abed1eb41826a3c2d3d8f09641975
"Upload the template for the project Documentation

Use chatGPT to write a introduction to my project",Slavi Dimitrov,2024-09-09T13:19:54.000+03:00,https://github.com/sldimitrov/VueJobs/commit/70ebd3a5ec27ee48ba9e303b768752b0124a920b
"common: implement op_return test.

Since we included the spec for it, this is a good time to implement
it.

I also asked chatgpt to write some unit tests.  I had to mangle them a
bit, but it probably saved me a few minutes.

Signed-off-by: Rusty Russell <rusty@rustcorp.com.au>",Rusty Russell,2025-03-15T21:51:35.000+10:30,https://github.com/ElementsProject/lightning/commit/71eb04064c06c9530c937c5fcdaea6499e6ad276
"common: implement op_return test.

Since we included the spec for it, this is a good time to implement
it.

I also asked chatgpt to write some unit tests.  I had to mangle them a
bit, but it probably saved me a few minutes.

Signed-off-by: Rusty Russell <rusty@rustcorp.com.au>",Rusty Russell,2025-03-15T21:51:35.000+10:30,https://github.com/Bittium1/Lightning/commit/71eb04064c06c9530c937c5fcdaea6499e6ad276
"spent a while making a prompt, but got chatgpt to write code to make a table automatically Tue, Oct 22, 2024 10:53:39 AM",runaround,2024-10-22T10:53:39.000-06:00,https://github.com/I-s-aac/golf-score-app/commit/57529515e2b3b6c0ca6a1d86326690a5dca99c15
ask ChatGPT to write sth,Alberto Iong,2024-03-07T10:03:51.000+08:00,https://github.com/Albert0i/Redis-Stack-Tutorial/commit/5bb5b13260c548900aa6315b86e7398fb59a6a73
"Prototyped the eye blinking, moving, and playing a sound file

I used chatGPT to write the actual Eye class with the functionality of blinking. Then I started adjusting numbers and adding features.",jch3xyz,2024-12-13T13:14:55.000-06:00,https://github.com/jch3xyz/Eye-In-The-Sky/commit/3395d6e3021d2a40b87c5bc9f5fe20c2c7fed7e1
"Add macOS ARM64 compatibility chatgcc.sh

Technically I've only run it up until the prompt generation, on an M1 MacBook Pro running macOS Sequoia 15.3.

I had asked ChatGPT to write a really encouraging prompt in the end else case 😋",Henk Poley,2025-02-08T14:41:08.000+01:00,https://github.com/Sawyer-Powell/chatgcc/commit/36cb91346f8c37eaa22e1b2357314012adf89929
used ChatGPT to write the basic frame work of the plot profile.,Ting-Hsuan (Dustin) Ma,2024-06-18T14:08:13.000-07:00,https://github.com/dustinma324/DataValidationScripts/commit/745cfb6f6e8fa6a7fbf707503bd57fba4c3ffcf8
Delete RWS305/files/ Should You Use ChatGPT to Write a Resume (Wilson).pdf,Rhetorician,2024-06-29T17:46:37.000-07:00,https://github.com/Rhetorician/coursematerials/commit/4b70b3656365ca50f455f795e8f67db068f8c79d
"Add background, character sprite, menu, video scene, and scene transition buttons

(testing using chatgpt to write commit messages)
- Added background image to the scene
- Implemented character sprite
- Created a main menu with buttons for navigation
- Added video scene for cutscenes or intro
- Implemented buttons to transition between scenes

- watermelon (I had to change something, right?)",Sean Philip,2025-02-12T14:04:37.000+07:00,https://github.com/seanphilip04/firstapp2/commit/6506e6bb480883b43be37033d01d70741f7ab6f0
"README preparation before I feed it into ChatGPT to write the rest, which I will then adjust as needed",Barth,2024-08-23T10:05:04.000+02:00,https://github.com/Quirin-DHBW/DHBW-WebEntwicklung-2024-Portfolio/commit/f8430ee41ca45829216288f3085286433f558e6d
Used chatgpt to write documentation.,Adam Angell,2024-01-05T16:34:40.000Z,https://github.com/NetworkingB2A/quick_scripts/commit/637cffb03edc00dc16ebdd7eb701759773f5c275
Revise Using ChatGPT To Write Papers,HayoonSong,2024-01-02T11:43:11.000+09:00,https://github.com/HayoonSong/HayoonSong.github.io/commit/3c36b5f73a115000229adb46a151cef6b4e4703a
Revise Using ChatGPT To Write Papers,HayoonSong,2023-12-28T11:11:54.000+09:00,https://github.com/HayoonSong/HayoonSong.github.io/commit/ee954792134bd25b82aa33bceaaa970f4ddc0df8
Revise Using ChatGPT To Write Papers,HayoonSong,2023-12-28T04:22:48.000+09:00,https://github.com/HayoonSong/HayoonSong.github.io/commit/9ed0627bd24d3df76d35fba408276fc6748b1740
Revise Using ChatGPT To Write Papers,HayoonSong,2023-12-28T04:10:01.000+09:00,https://github.com/HayoonSong/HayoonSong.github.io/commit/ae54159162ce1f07ae071a328d0c8b97b5edefd2
Revise Using ChatGPT To Write Papers,HayoonSong,2023-12-28T04:02:07.000+09:00,https://github.com/HayoonSong/HayoonSong.github.io/commit/3802126b471eb4370efc340b362fa25a0d1e6346
Revise Using ChatGPT To Write Papers,HayoonSong,2023-12-28T03:04:19.000+09:00,https://github.com/HayoonSong/HayoonSong.github.io/commit/3a8ead355a242f25309d917f51c04f3afdcb6cfd
Revise Using ChatGPT To Write Papers,HayoonSong,2023-12-27T21:13:29.000+09:00,https://github.com/HayoonSong/HayoonSong.github.io/commit/d985998b39d8ae47a72bba3eaa784ac2b0c4dba6
