message,author,date,url
"{""message"":""Update file: Use Authoring Copilot to create New Quizzes (Enhanced).md"",""userId"":""22767"",""fileName"":""Use Authoring Copilot to create New Quizzes (Enhanced).md""}",Isomer Admin,2025-04-04T02:07:05.000Z,https://github.com/isomerpages/moe-sls/commit/32221d89130e151ed89d41b445e90f583b21360f
"{""message"":""Update file: Use Authoring Copilot to create New Sections.md"",""userId"":""4435"",""fileName"":""Use Authoring Copilot to create New Sections.md""}",Isomer Admin,2025-03-18T08:22:02.000Z,https://github.com/isomerpages/moe-sls/commit/363735890aa7cf5b8a76dd2683d2fafaf30aef36
"{""message"":""Create file: _teacher-user-guide/Author/Use Authoring Copilot to create New Sections.md"",""userId"":""4435"",""fileName"":""Use Authoring Copilot to create New Sections.md""}",Isomer Admin,2025-03-18T08:21:53.000Z,https://github.com/isomerpages/moe-sls/commit/07b65004b5c7f7ba59de8429a65b8a2237dc924c
"{""message"":""Delete file: Use Authoring Copilot to create New Sections (Enhanced).md"",""userId"":""4435"",""fileName"":""Use Authoring Copilot to create New Sections (Enhanced).md""}",Isomer Admin,2025-03-18T08:21:52.000Z,https://github.com/isomerpages/moe-sls/commit/21dee1b334f81df602e8d7ef2a140ed881e73f64
"{""message"":""Update file: Use Authoring Copilot to create New Quizzes (Enhanced).md"",""userId"":""4435"",""fileName"":""Use Authoring Copilot to create New Quizzes (Enhanced).md""}",Isomer Admin,2025-03-18T03:28:45.000Z,https://github.com/isomerpages/moe-sls/commit/c819f736225112411384cd69d5cb1f4371bd217d
"{""message"":""Update file: Use Authoring Copilot to create New Quizzes (Enhanced).md"",""userId"":""4434"",""fileName"":""Use Authoring Copilot to create New Quizzes (Enhanced).md""}",Isomer Admin,2025-03-12T08:36:32.000Z,https://github.com/isomerpages/moe-sls/commit/94f04285cd4cab36c475091974dbbaf4645aa371
"{""message"":""Update file: Use Authoring Copilot to create New Quizzes (Enhanced).md"",""userId"":""4434"",""fileName"":""Use Authoring Copilot to create New Quizzes (Enhanced).md""}",Isomer Admin,2025-03-12T08:34:32.000Z,https://github.com/isomerpages/moe-sls/commit/f845342d110e8599cac5a01f00d1fb52baa75623
"{""message"":""Update file: Use Authoring Copilot to create New Quizzes (Enhanced).md"",""userId"":""4434"",""fileName"":""Use Authoring Copilot to create New Quizzes (Enhanced).md""}",Isomer Admin,2025-03-12T08:29:24.000Z,https://github.com/isomerpages/moe-sls/commit/c4afe027b38830f2ab3cc2c47a4ec76205f2467e
"{""message"":""Update file: Use Authoring Copilot to create New Quizzes (Enhanced).md"",""userId"":""4434"",""fileName"":""Use Authoring Copilot to create New Quizzes (Enhanced).md""}",Isomer Admin,2025-03-12T07:29:31.000Z,https://github.com/isomerpages/moe-sls/commit/efa00e1523b6e8b2a0fede8aed2902280feab942
"{""message"":""Update file: Use Authoring Copilot to create New Activities & Components (Enhanced).md"",""userId"":""4435"",""fileName"":""Use Authoring Copilot to create New Activities & Components (Enhanced).md""}",Isomer Admin,2025-03-18T03:17:05.000Z,https://github.com/isomerpages/moe-sls/commit/cea14ed51aedb42ce4d82e7b57cd4cd005cd9a92
